
complaint_id,date,division,district,channel,sector,accused_type,amount,complaint_text,risk_label
C-1034,2023-07-04,Chattogram,Feni,Online Form,Health,Ward Boy,500000,Ward Boy is harassing me for 500000 taka.,Medium
C-1035,2024-03-06,Rangpur,Gaibandha,Hotline 106,Tender/Procurement,Executive Engineer,10000,Refusing to do work without extra payment of 10000.,Low
C-1036,2023-04-29,Rangpur,Gaibandha,Email,Banking,Loan Officer,5000,Loan Officer took money but did not give the service.,Low
C-1037,2023-11-15,Rangpur,Rangpur,Email,Tender/Procurement,Contractor,50000,Contractor hired his own relative for the post of bridge repair.,Low
C-1038,2024-01-15,Dhaka,Narayanganj,Written Application,Land,Tehsildar,5000000,"Sir, the Tehsildar demanded 5000000 taka for khatian issue.",High
C-1039,2023-08-27,Barishal,Bhola,Written Application,Municipality,Tax Collector,5000,"Sir, the Tax Collector demanded 5000 taka for holding tax.",Low
C-1040,2023-01-11,Mymensingh,Mymensingh,Written Application,Police,OC,500000,OC hired his own relative for the post of GD entry.,Medium
C-1041,2024-03-02,Sylhet,Habiganj,Hotline 106,Municipality,Councilor,50000,Assets of Councilor increased abnormally in last 2 years.,Low
C-1042,2023-06-17,Chattogram,Cumilla,Hotline 106,Police,SI,5000,SI asks for speed money to move the file.,Low
C-1043,2023-07-05,Sylhet,Moulvibazar,Email,Land,Surveyor,20000,Surveyor is harassing me for 20000 taka.,Low
C-1044,2023-01-29,Barishal,Barishal,Hotline 106,Municipality,Councilor,100000,Assets of Councilor increased abnormally in last 2 years.,Medium
C-1045,2023-05-21,Rajshahi,Rajshahi,Hotline 106,Land,Land Officer,50000,Government fund for khatian issue misappropriated by Land Officer.,Low
C-1046,2023-07-07,Sylhet,Sylhet,Written Application,Banking,Cashier,5000000,Cashier hired his own relative for the post of loan sanction.,High
C-1047,2023-04-08,Chattogram,Chandpur,Hotline 106,Police,Inspector,500000,Government fund for GD entry misappropriated by Inspector.,Medium
C-1048,2023-04-28,Khulna,Jashore,Email,Land,Tehsildar,20000,Tehsildar asks for speed money to move the file.,Low
C-1049,2023-12-29,Khulna,Satkhira,Online Form,Health,Store Keeper,50000,Store Keeper took money but did not give the service.,Low
C-1050,2023-08-15,Rangpur,Kurigram,Online Form,Police,Inspector,10000,Inspector is harassing me for 10000 taka.,Low
C-1051,2024-02-16,Sylhet,Sunamganj,Email,Police,SI,20000,Huge corruption in passport verification by SI. Amount embezzled approx 20000.,Low
C-1052,2023-01-18,Rajshahi,Rajshahi,Online Form,Education,Clerk,2000000,Huge corruption in admission by Clerk. Amount embezzled approx 2000000.,High
C-1053,2024-01-16,Mymensingh,Mymensingh,Written Application,Municipality,Councilor,10000,Bill passed for holding tax but no work done by Councilor.,Low
C-1054,2024-03-16,Chattogram,Noakhali,Email,Police,Constable,1000000,Government fund for case filing misappropriated by Constable.,Medium
C-1055,2023-08-14,Dhaka,Manikganj,Email,Banking,Loan Officer,100000,Assets of Loan Officer increased abnormally in last 2 years.,Medium
C-1056,2023-06-13,Barishal,Patuakhali,Written Application,Health,Store Keeper,20000,Huge corruption in medicine supply by Store Keeper. Amount embezzled approx 20000.,Low
C-1057,2023-01-17,Mymensingh,Jamalpur,Email,Recruitment,Civil Surgeon,100000,Used low quality materials in office assistant job construction.,Medium
C-1058,2023-05-18,Mymensingh,Jamalpur,Hotline 106,Banking,Cashier,500000,"Sir, the Cashier demanded 500000 taka for mortgage release.",Medium
C-1059,2023-07-21,Rangpur,Rangpur,Email,Recruitment,Chairman,1000000,Assets of Chairman increased abnormally in last 2 years.,High
C-1060,2023-09-16,Dhaka,Dhaka,Written Application,Police,Inspector,5000000,Huge corruption in GD entry by Inspector. Amount embezzled approx 5000000.,High
C-1061,2024-02-04,Dhaka,Dhaka,Written Application,Recruitment,Civil Surgeon,10000,Huge corruption in primary teacher job by Civil Surgeon. Amount embezzled approx 10000.,Low
C-1062,2023-03-17,Sylhet,Sunamganj,Written Application,Banking,Bank Manager,100000,Bank Manager took money but did not give the service.,Medium
C-1063,2023-01-16,Rajshahi,Pabna,Written Application,Tender/Procurement,Executive Engineer,500000,Executive Engineer hired his own relative for the post of supply of computers.,Medium
C-1064,2024-03-02,Chattogram,Cox's Bazar,Written Application,Municipality,Mayor,4000000,Used low quality materials in birth registration construction.,High
C-1065,2023-12-15,Khulna,Jashore,Written Application,Land,Broker,25000,Broker asks for speed money to move the file.,Low
C-1066,2023-04-21,Rajshahi,Naogaon,Written Application,Banking,Loan Officer,500000,"Sir, the Loan Officer demanded 500000 taka for SME loan.",Medium
C-1067,2023-07-09,Sylhet,Habiganj,Email,Education,Education Officer,300000,Refusing to do work without extra payment of 300000.,Medium
C-1068,2023-08-23,Chattogram,Chandpur,Hotline 106,Municipality,Mayor,500000,"Sir, the Mayor demanded 500000 taka for holding tax.",Medium
C-1069,2023-04-22,Khulna,Khulna,Written Application,Land,Surveyor,5000,Surveyor took money but did not give the service.,Low
C-1070,2024-03-12,Khulna,Bagerhat,Online Form,Recruitment,Civil Surgeon,100000,Assets of Civil Surgeon increased abnormally in last 2 years.,Medium
C-1071,2023-01-28,Khulna,Bagerhat,Online Form,Education,Clerk,10000,Illegal transaction of 10000 taka caught on tape by Clerk.,Low
C-1072,2023-02-02,Chattogram,Feni,Email,Education,Headmaster,200000,Assets of Headmaster increased abnormally in last 2 years.,Medium
C-1073,2024-01-14,Khulna,Satkhira,Hotline 106,Health,Ward Boy,200000,Government fund for patient admission misappropriated by Ward Boy.,Medium
C-1074,2024-02-09,Sylhet,Sylhet,Hotline 106,Recruitment,Headmaster,1000000,Headmaster asks for speed money to move the file.,Medium
C-1075,2023-02-21,Rangpur,Dinajpur,Written Application,Land,Broker,5000,"Sir, the Broker demanded 5000 taka for khatian issue.",Low
C-1076,2023-02-15,Rangpur,Dinajpur,Hotline 106,Tender/Procurement,Executive Engineer,10000,Executive Engineer asks for speed money to move the file.,Low
C-1077,2023-10-07,Chattogram,Chandpur,Email,Police,OC,100000,Illegal transaction of 100000 taka caught on tape by OC.,Medium
C-1078,2024-02-13,Mymensingh,Jamalpur,Online Form,Banking,Loan Officer,1000000,"Sir, the Loan Officer demanded 1000000 taka for loan sanction.",Medium
C-1079,2023-12-23,Rangpur,Gaibandha,Online Form,Police,Constable,100000,"Sir, the Constable demanded 100000 taka for GD entry.",Medium
C-1080,2024-03-13,Barishal,Pirojpur,Online Form,Municipality,Mayor,50000,Huge corruption in birth registration by Mayor. Amount embezzled approx 50000.,Low
C-1081,2023-06-21,Rajshahi,Rajshahi,Written Application,Recruitment,Chairman,50000,Chairman is harassing me for 50000 taka.,High
C-1082,2023-05-27,Chattogram,Feni,Hotline 106,Police,OC,20000,OC hired his own relative for the post of passport verification.,Low
C-1083,2024-01-25,Mymensingh,Netrokona,Online Form,Education,Teacher,25000000,Assets of Teacher increased abnormally in last 2 years.,High
C-1084,2023-08-08,Dhaka,Tangail,Email,Banking,Bank Manager,5000000,Illegal transaction of 5000000 taka caught on tape by Bank Manager.,High
C-1085,2023-04-08,Chattogram,Chattogram,Online Form,Education,Headmaster,1000000,Headmaster asks for speed money to move the file.,Medium
C-1086,2023-04-04,Dhaka,Tangail,Written Application,Recruitment,Civil Surgeon,20000,Civil Surgeon hired his own relative for the post of office assistant job.,Low
C-1087,2024-02-09,Barishal,Bhola,Written Application,Banking,Cashier,5000000,Huge corruption in mortgage release by Cashier. Amount embezzled approx 5000000.,High
C-1088,2023-09-11,Barishal,Barishal,Hotline 106,Banking,Loan Officer,1000000,Bill passed for SME loan but no work done by Loan Officer.,Medium
C-1089,2024-03-12,Sylhet,Sunamganj,Email,Land,Tehsildar,1000000,Illegal transaction of 1000000 taka caught on tape by Tehsildar.,Medium
C-1090,2024-03-24,Sylhet,Sylhet,Email,Land,Land Officer,10000,Bill passed for land registration but no work done by Land Officer.,Low
C-1091,2023-06-11,Dhaka,Manikganj,Online Form,Health,Doctor,500000,Illegal transaction of 500000 taka caught on tape by Doctor.,Medium
C-1092,2023-07-18,Rangpur,Kurigram,Email,Health,Nurse,5000000,Nurse asks for speed money to move the file.,High
C-1093,2023-05-19,Khulna,Bagerhat,Email,Banking,Cashier,2000000,Cashier asks for speed money to move the file.,High
C-1094,2023-07-15,Khulna,Jashore,Online Form,Tender/Procurement,Contractor,5000,Huge corruption in bridge repair by Contractor. Amount embezzled approx 5000.,Low
C-1095,2024-01-28,Mymensingh,Jamalpur,Written Application,Banking,Cashier,15000000,Illegal transaction of 15000000 taka caught on tape by Cashier.,High
C-1096,2023-04-22,Barishal,Patuakhali,Written Application,Municipality,Tax Collector,30000,Illegal transaction of 30000 taka caught on tape by Tax Collector.,Low
C-1097,2023-10-24,Rangpur,Gaibandha,Written Application,Recruitment,Civil Surgeon,20000,Used low quality materials in office assistant job construction.,Low
C-1098,2023-08-26,Mymensingh,Netrokona,Email,Municipality,Mayor,20000,Mayor took money but did not give the service.,Low
C-1099,2023-09-20,Chattogram,Feni,Online Form,Health,Store Keeper,60000,Bill passed for patient admission but no work done by Store Keeper.,Medium
C-1100,2023-09-18,Mymensingh,Mymensingh,Written Application,Tender/Procurement,Project Director,5000,Assets of Project Director increased abnormally in last 2 years.,Low
C-1101,2023-07-01,Rajshahi,Bogura,Hotline 106,Tender/Procurement,Contractor,5000000,Refusing to do work without extra payment of 5000000.,High
C-1102,2023-12-22,Rangpur,Gaibandha,Written Application,Banking,Cashier,50000,Assets of Cashier increased abnormally in last 2 years.,Low
C-1103,2023-02-01,Sylhet,Sylhet,Online Form,Education,Teacher,10000,Teacher is harassing me for 10000 taka.,Low
C-1104,2024-01-22,Barishal,Bhola,Written Application,Police,Inspector,20000,Assets of Inspector increased abnormally in last 2 years.,Low
C-1105,2023-12-21,Dhaka,Dhaka,Written Application,Police,Constable,1000000,Assets of Constable increased abnormally in last 2 years.,Medium
C-1106,2023-10-03,Rangpur,Kurigram,Written Application,Education,Teacher,20000,Government fund for admission misappropriated by Teacher.,Low
C-1107,2023-03-22,Sylhet,Sylhet,Written Application,Recruitment,Civil Surgeon,1000000,Civil Surgeon asks for speed money to move the file.,Medium
C-1108,2023-08-03,Rajshahi,Naogaon,Written Application,Banking,Loan Officer,500000,"Sir, the Loan Officer demanded 500000 taka for SME loan.",Medium
C-1109,2023-02-13,Dhaka,Manikganj,Online Form,Health,Nurse,100000,Assets of Nurse increased abnormally in last 2 years.,Medium
C-1110,2023-10-27,Mymensingh,Sherpur,Email,Banking,Cashier,100000,Assets of Cashier increased abnormally in last 2 years.,Medium
C-1111,2023-06-29,Barishal,Barishal,Email,Banking,Bank Manager,5000000,Bank Manager took money but did not give the service.,High
C-1112,2024-03-29,Chattogram,Cumilla,Email,Recruitment,Chairman,100000,Chairman asks for speed money to move the file.,High
C-1113,2023-06-20,Mymensingh,Sherpur,Email,Land,AC Land,4000000,"Sir, the AC Land demanded 4000000 taka for land registration.",High
C-1114,2023-08-19,Rangpur,Kurigram,Online Form,Recruitment,Chairman,10000,Bill passed for primary teacher job but no work done by Chairman.,High
C-1115,2023-09-20,Khulna,Khulna,Hotline 106,Municipality,Mayor,50000,Used low quality materials in holding tax construction.,Low
C-1116,2023-09-28,Sylhet,Moulvibazar,Written Application,Recruitment,Ministry Official,300000,Refusing to do work without extra payment of 300000.,Medium
C-1117,2023-01-16,Mymensingh,Mymensingh,Written Application,Land,AC Land,10000,AC Land is harassing me for 10000 taka.,Low
C-1118,2023-02-14,Mymensingh,Netrokona,Email,Recruitment,Ministry Official,100000,Ministry Official took money but did not give the service.,Medium
C-1119,2023-09-29,Sylhet,Sylhet,Online Form,Health,Doctor,100000,Government fund for medicine supply misappropriated by Doctor.,Medium
C-1120,2023-01-28,Chattogram,Chattogram,Email,Recruitment,Chairman,5000000,Illegal transaction of 5000000 taka caught on tape by Chairman.,High
C-1121,2023-07-04,Sylhet,Sunamganj,Online Form,Recruitment,Chairman,1000000,Refusing to do work without extra payment of 1000000.,High
C-1122,2023-11-27,Sylhet,Moulvibazar,Online Form,Banking,Bank Manager,100000,Government fund for mortgage release misappropriated by Bank Manager.,Medium
C-1123,2023-01-02,Rangpur,Dinajpur,Written Application,Health,Store Keeper,20000,Refusing to do work without extra payment of 20000.,Low
C-1124,2023-11-17,Mymensingh,Jamalpur,Written Application,Recruitment,Civil Surgeon,10000,Used low quality materials in peon recruitment construction.,Low
C-1125,2024-01-09,Mymensingh,Netrokona,Online Form,Municipality,Engineer,500000,Engineer took money but did not give the service.,Medium
C-1126,2024-02-16,Mymensingh,Jamalpur,Written Application,Police,Constable,10000,Illegal transaction of 10000 taka caught on tape by Constable.,Low
C-1127,2023-10-07,Dhaka,Faridpur,Online Form,Education,Education Officer,30000,Education Officer hired his own relative for the post of exam fees.,Low
C-1128,2023-06-15,Khulna,Jashore,Email,Education,Education Officer,20000,Education Officer asks for speed money to move the file.,Low
C-1129,2023-02-04,Barishal,Bhola,Email,Education,Clerk,5000,Assets of Clerk increased abnormally in last 2 years.,Low
C-1130,2023-01-05,Dhaka,Tangail,Hotline 106,Land,Land Officer,20000,Used low quality materials in mutation construction.,Low
C-1131,2023-12-07,Chattogram,Feni,Email,Police,OC,500000,Huge corruption in GD entry by OC. Amount embezzled approx 500000.,Medium
C-1132,2023-09-28,Sylhet,Moulvibazar,Written Application,Recruitment,Headmaster,100000,Bill passed for office assistant job but no work done by Headmaster.,Medium
C-1133,2023-04-19,Sylhet,Moulvibazar,Written Application,Education,Headmaster,500000,Government fund for exam fees misappropriated by Headmaster.,Medium
C-1134,2023-01-17,Mymensingh,Mymensingh,Email,Education,Headmaster,25000000,Bill passed for admission but no work done by Headmaster.,High
C-1135,2023-12-09,Khulna,Jashore,Written Application,Police,Inspector,500000,Illegal transaction of 500000 taka caught on tape by Inspector.,Medium
C-1136,2023-10-03,Rajshahi,Rajshahi,Email,Recruitment,Headmaster,80000,Bill passed for office assistant job but no work done by Headmaster.,Medium
C-1137,2023-04-23,Rajshahi,Naogaon,Hotline 106,Education,Teacher,50000,Teacher is harassing me for 50000 taka.,Low
C-1138,2023-02-02,Mymensingh,Netrokona,Hotline 106,Education,Clerk,50000,Used low quality materials in MPO enlistment construction.,Low
C-1139,2023-03-17,Rangpur,Rangpur,Hotline 106,Police,OC,10000,Bill passed for GD entry but no work done by OC.,Low
C-1140,2023-08-13,Mymensingh,Sherpur,Online Form,Land,Broker,15000,Broker is harassing me for 15000 taka.,Low
C-1141,2023-11-26,Rangpur,Gaibandha,Email,Health,Doctor,500000,Huge corruption in surgery by Doctor. Amount embezzled approx 500000.,Medium
C-1142,2023-09-25,Mymensingh,Jamalpur,Email,Banking,Bank Manager,5000000,Bank Manager asks for speed money to move the file.,High
C-1143,2023-07-29,Rangpur,Dinajpur,Written Application,Recruitment,Headmaster,10000,Assets of Headmaster increased abnormally in last 2 years.,Low
C-1144,2023-06-15,Rajshahi,Rajshahi,Email,Health,Ward Boy,1000000,Refusing to do work without extra payment of 1000000.,Medium
C-1145,2023-10-26,Khulna,Kushtia,Written Application,Police,Inspector,50000,Refusing to do work without extra payment of 50000.,Low
C-1146,2023-11-13,Rangpur,Dinajpur,Online Form,Police,OC,100000,OC took money but did not give the service.,Medium
C-1147,2023-11-19,Dhaka,Faridpur,Hotline 106,Banking,Loan Officer,20000,Government fund for mortgage release misappropriated by Loan Officer.,Low
C-1148,2023-10-31,Barishal,Pirojpur,Hotline 106,Land,Sub-Registrar,20000000,Refusing to do work without extra payment of 20000000.,High
C-1149,2023-04-10,Rangpur,Kurigram,Hotline 106,Municipality,Councilor,50000,Government fund for birth registration misappropriated by Councilor.,Low
C-1150,2023-12-13,Sylhet,Habiganj,Online Form,Tender/Procurement,Project Director,2500000,Project Director is harassing me for 2500000 taka.,High
C-1151,2023-12-09,Rangpur,Rangpur,Email,Banking,Bank Manager,1000000,Bill passed for loan sanction but no work done by Bank Manager.,Medium
C-1152,2023-06-23,Sylhet,Moulvibazar,Online Form,Tender/Procurement,Executive Engineer,2000000,Refusing to do work without extra payment of 2000000.,High
C-1153,2024-03-27,Khulna,Jashore,Email,Recruitment,Headmaster,5000000,"Sir, the Headmaster demanded 5000000 taka for office assistant job.",High
C-1154,2023-01-17,Barishal,Pirojpur,Email,Health,Nurse,5000000,Assets of Nurse increased abnormally in last 2 years.,High
C-1155,2023-06-10,Chattogram,Cox's Bazar,Online Form,Health,Ward Boy,20000,Used low quality materials in medicine supply construction.,Low
C-1156,2023-07-12,Mymensingh,Mymensingh,Written Application,Recruitment,Ministry Official,20000,Illegal transaction of 20000 taka caught on tape by Ministry Official.,Low
C-1157,2023-07-28,Rajshahi,Naogaon,Email,Education,Clerk,1500000,Clerk hired his own relative for the post of exam fees.,High
C-1158,2023-02-28,Chattogram,Cumilla,Written Application,Recruitment,Chairman,500000,Bill passed for peon recruitment but no work done by Chairman.,High
C-1159,2023-01-08,Chattogram,Noakhali,Email,Police,Constable,4000000,Illegal transaction of 4000000 taka caught on tape by Constable.,High
C-1160,2024-01-11,Rangpur,Rangpur,Email,Banking,Cashier,1000000,Bill passed for SME loan but no work done by Cashier.,Medium
C-1161,2023-05-02,Rangpur,Rangpur,Written Application,Municipality,Engineer,1000000,Assets of Engineer increased abnormally in last 2 years.,Medium
C-1162,2024-01-30,Rajshahi,Sirajganj,Online Form,Municipality,Tax Collector,50000,Assets of Tax Collector increased abnormally in last 2 years.,Low
C-1163,2023-11-13,Rajshahi,Sirajganj,Email,Education,Education Officer,10000,Assets of Education Officer increased abnormally in last 2 years.,Low
C-1164,2023-12-27,Khulna,Khulna,Written Application,Tender/Procurement,Project Director,100000,Illegal transaction of 100000 taka caught on tape by Project Director.,Medium
C-1165,2023-04-05,Dhaka,Faridpur,Hotline 106,Recruitment,Headmaster,5000000,Assets of Headmaster increased abnormally in last 2 years.,High
C-1166,2023-07-09,Barishal,Barishal,Online Form,Tender/Procurement,Supplier,1000000,Supplier asks for speed money to move the file.,Medium
C-1167,2023-09-03,Sylhet,Habiganj,Online Form,Police,Constable,5000,Constable is harassing me for 5000 taka.,Low
C-1168,2024-02-06,Barishal,Barishal,Online Form,Tender/Procurement,Project Director,1000000,Project Director hired his own relative for the post of bridge repair.,Medium
C-1169,2023-10-15,Sylhet,Sylhet,Hotline 106,Health,Nurse,20000,Huge corruption in surgery by Nurse. Amount embezzled approx 20000.,Low
C-1170,2023-12-03,Mymensingh,Jamalpur,Online Form,Banking,Cashier,10000,Bill passed for SME loan but no work done by Cashier.,Low
C-1171,2023-08-15,Chattogram,Noakhali,Online Form,Education,Clerk,50000,Bill passed for MPO enlistment but no work done by Clerk.,Low
C-1172,2023-10-21,Chattogram,Cox's Bazar,Written Application,Health,Doctor,20000,Doctor hired his own relative for the post of medicine supply.,Low
C-1173,2023-07-19,Mymensingh,Sherpur,Online Form,Banking,Loan Officer,1000000,Bill passed for mortgage release but no work done by Loan Officer.,Medium
C-1174,2023-02-03,Barishal,Pirojpur,Hotline 106,Tender/Procurement,Contractor,5000000,Bill passed for school building but no work done by Contractor.,High
C-1175,2023-05-01,Mymensingh,Netrokona,Written Application,Municipality,Mayor,500000,Government fund for trade license misappropriated by Mayor.,Medium
C-1176,2024-01-12,Mymensingh,Netrokona,Written Application,Police,OC,10000,"Sir, the OC demanded 10000 taka for GD entry.",Low
C-1177,2023-09-19,Rangpur,Rangpur,Online Form,Tender/Procurement,Supplier,5000,Bill passed for road construction but no work done by Supplier.,Low
C-1178,2023-02-25,Mymensingh,Netrokona,Online Form,Health,Nurse,500000,Illegal transaction of 500000 taka caught on tape by Nurse.,Medium
C-1179,2023-10-14,Barishal,Barishal,Written Application,Municipality,Tax Collector,10000,Tax Collector is harassing me for 10000 taka.,Low
C-1180,2023-10-31,Sylhet,Sylhet,Email,Municipality,Engineer,5000000,Refusing to do work without extra payment of 5000000.,High
C-1181,2023-03-12,Rangpur,Kurigram,Written Application,Municipality,Mayor,20000,Mayor is harassing me for 20000 taka.,Low
C-1182,2023-03-11,Barishal,Barishal,Written Application,Tender/Procurement,Supplier,10000,Used low quality materials in bridge repair construction.,Low
C-1183,2023-11-08,Barishal,Bhola,Online Form,Health,Store Keeper,1000000,Used low quality materials in patient admission construction.,Medium
C-1184,2024-01-30,Dhaka,Narayanganj,Written Application,Tender/Procurement,Contractor,5000,Contractor asks for speed money to move the file.,Low
C-1185,2023-01-03,Rangpur,Gaibandha,Online Form,Health,Store Keeper,5000,Huge corruption in surgery by Store Keeper. Amount embezzled approx 5000.,Low
C-1186,2023-04-01,Rajshahi,Naogaon,Email,Land,AC Land,500000,AC Land hired his own relative for the post of land registration.,Medium
C-1187,2023-04-15,Dhaka,Narayanganj,Written Application,Banking,Bank Manager,50000,Assets of Bank Manager increased abnormally in last 2 years.,Low
C-1188,2023-01-10,Rajshahi,Pabna,Written Application,Recruitment,Headmaster,10000,Refusing to do work without extra payment of 10000.,Low
C-1189,2023-02-28,Sylhet,Moulvibazar,Hotline 106,Education,Headmaster,25000000,Headmaster asks for speed money to move the file.,High
C-1190,2023-08-26,Sylhet,Moulvibazar,Written Application,Police,Constable,5000000,Assets of Constable increased abnormally in last 2 years.,High
C-1191,2023-02-23,Sylhet,Sunamganj,Written Application,Police,OC,5000,Bill passed for case filing but no work done by OC.,Low
C-1192,2023-05-11,Barishal,Bhola,Email,Health,Store Keeper,200000,Store Keeper hired his own relative for the post of patient admission.,Medium
C-1193,2023-09-28,Rangpur,Gaibandha,Written Application,Tender/Procurement,Project Director,5000000,Project Director is harassing me for 5000000 taka.,High
C-1194,2023-04-01,Sylhet,Sylhet,Email,Tender/Procurement,Contractor,1000000,Government fund for road construction misappropriated by Contractor.,Medium
C-1195,2023-04-07,Mymensingh,Netrokona,Online Form,Municipality,Councilor,1000000,Councilor hired his own relative for the post of holding tax.,Medium
C-1196,2023-10-12,Khulna,Satkhira,Email,Health,Doctor,1500000,Huge corruption in surgery by Doctor. Amount embezzled approx 1500000.,High
C-1197,2024-01-12,Sylhet,Sylhet,Email,Health,Ward Boy,5000,Ward Boy hired his own relative for the post of surgery.,Low
C-1198,2023-02-07,Mymensingh,Sherpur,Online Form,Banking,Cashier,100000,Bill passed for SME loan but no work done by Cashier.,Medium
C-1199,2023-11-17,Mymensingh,Jamalpur,Written Application,Tender/Procurement,Supplier,10000,Supplier is harassing me for 10000 taka.,Low
C-1200,2023-06-23,Rajshahi,Pabna,Online Form,Tender/Procurement,Project Director,500000,Project Director asks for speed money to move the file.,Medium
C-1201,2023-08-05,Khulna,Bagerhat,Hotline 106,Banking,Loan Officer,300000,Illegal transaction of 300000 taka caught on tape by Loan Officer.,Medium
C-1202,2024-03-01,Rangpur,Rangpur,Hotline 106,Tender/Procurement,Supplier,25000000,Huge corruption in bridge repair by Supplier. Amount embezzled approx 25000000.,High
C-1203,2023-05-16,Khulna,Satkhira,Hotline 106,Health,Store Keeper,20000,Store Keeper took money but did not give the service.,Low
C-1204,2023-10-11,Rajshahi,Naogaon,Written Application,Health,Store Keeper,40000,Used low quality materials in medicine supply construction.,Low
C-1205,2023-05-29,Chattogram,Chandpur,Online Form,Banking,Cashier,20000,Cashier asks for speed money to move the file.,Low
C-1206,2024-02-10,Rangpur,Gaibandha,Online Form,Health,Store Keeper,5000000,Huge corruption in medicine supply by Store Keeper. Amount embezzled approx 5000000.,High
C-1207,2024-03-11,Khulna,Bagerhat,Hotline 106,Health,Nurse,5000000,Huge corruption in surgery by Nurse. Amount embezzled approx 5000000.,High
